"Territorial emissions in MtCO₂"
;EU27;Australia;Brazil;Canada;China;Germany;India;Indonesia;Iran;Italy;Japan;"Russian Federation";"Saudi Arabia";"South Korea";"United States of America"
1985;3812.6526;240.9983;180.0043;421.7187;1998.0829;1044.118;397.953;121.5974;159.8567;368.9824;912.4008;2343.7963;172.4212;168.7921;4652.3829
1986;3796.5297;239.7334;197.2926;404.7079;2104.2134;1047.4719;426.6986;122.1661;147.6034;363.1876;912.2599;2344.1238;204.6038;176.3368;4663.1655
1987;3830.3218;255.8619;205.8389;430.9821;2257.7385;1032.4428;455.7588;123.8785;158.5626;380.0986;902.5303;2355.4755;190.4469;185.399;4825.4447
1988;3787.5599;260.8923;207.5962;455.6691;2425.8936;1029.0241;492.144;132.7212;175.1427;385.9623;985.4643;2430.9474;202.2519;210.9995;5050.2678
1989;3825.5948;277.501;212.1307;462.8851;2463.6544;1008.7923;541.1349;131.6735;190.1978;404.7419;1021.6817;2400.3084;203.4239;223.5646;5131.9266
1990;3863.4105;279.3648;218.658;458.0074;2484.8548;1052.4768;578.5182;150.2846;209.9437;439.5498;1158.0074;2525.518;208.497;250.4691;5113.4547
1991;3799.8874;281.8715;229.394;449.6992;2606.0962;1014.2245;615.9249;180.6211;226.0109;439.094;1169.6919;2396.205;288.5455;275.6565;5057.9309
1992;3672.3467;286.3322;233.601;463.521;2730.7876;965.8933;656.0331;203.5772;226.9349;439.3152;1179.3961;1957.8861;316.1747;300.0329;5167.4808
1993;3603.9042;291.3247;244.306;463.9933;2921.651;956.1321;677.9163;219.7622;235.6069;431.6047;1172.3395;1859.6794;340.6424;330.2717;5267.3431
1994;3585.9576;300.0843;254.002;478.2671;3100.002;939.8146;716.9176;222.8551;263.8203;425.7967;1227.273;1641.6161;328.139;355.8364;5358.824
1995;3635.3449;308.0226;268.678;490.9514;3357.9089;938.9684;762.1206;226.5426;271.582;449.826;1239.6198;1613.1411;262.4211;383.696;5421.5025
1996;3720.5613;316.3322;289.311;506.9996;3503.2337;959.1513;825.9189;255.0675;273.7689;444.0293;1251.5309;1580.3757;258.2748;421.0945;5610.5816
1997;3654.8178;327.1096;306.949;521.2784;3510.1693;931.3242;859.6862;280.7338;267.0457;449.7541;1244.7812;1475.3602;215.8075;445.1882;5686.465
1998;3645.8882;338.6971;317.359;528.9871;3360.4554;923.3567;877.6981;215.9708;305.5035;461.9459;1204.9935;1458.3678;207.2401;378.4443;5731.0496
1999;3589.8732;346.5989;327.256;543.73;3350.3401;895.8743;951.7487;243.9501;379.5014;466.4248;1241.6115;1486.3005;225.9855;410.9956;5804.6689
2000;3601.2488;351.8196;340.183;566.5523;3439.1522;899.8521;978.9192;274.7267;369.1496;470.4932;1264.3746;1471.2595;296.3638;440.5307;6010.5084
2001;3658.6456;360.4547;346.166;559.0422;3514.9338;916.6485;992.5601;303.3414;394.7594;470.5759;1249.7663;1507.7066;296.5881;456.2454;5904.8816
2002;3659.4556;367.1129;347.765;564.6692;3872.5953;899.9714;1023.0272;310.8183;397.6248;478.0051;1279.1201;1495.6936;325.6979;476.7893;5946.7706
2003;3743.6194;373.233;344.645;582.3436;4545.0139;901.1519;1059.6162;340.4415;413.6646;495.9648;1287.4677;1525.607;326.5171;485.9548;6011.8375
2004;3754.7933;386.7663;361.434;580.7588;5223.7547;887.0891;1125.4713;344.3937;441.9466;501.5678;1282.8616;1530.6943;394.5849;492.2492;6114.0069
2005;3735.1049;387.6016;364.371;575.8524;5876.5553;866.6972;1185.9534;348.9887;463.4994;502.2595;1290.3711;1547.5991;395.8548;499.5644;6134.5215
2006;3744.7672;397.2947;368.871;571.4098;6488.8038;878.3204;1259.7443;346.7056;503.6362;496.8919;1267.3619;1606.5419;431.292;504.5057;6051.668
2007;3702.618;401.9255;390.573;594.6654;6978.612;851.6243;1358.1522;388.2552;512.6595;490.6026;1303.1342;1604.5494;386.5071;522.9063;6131.0042
2008;3616.9416;409.653;412.638;579.3671;7496.8322;854.9271;1462.8146;366.2933;534.6441;478.9028;1232.3137;1636.9231;432.3364;534.0249;5914.0778
2009;3324.5201;401.3213;389.775;546.6104;7886.5328;790.2947;1612.8166;401.9573;559.0249;424.7389;1163.2129;1528.9611;465.8443;539.23;5478.2097
2010;3425.8127;404.5332;440.269;558.804;8616.6527;832.9491;1677.8876;451.9315;569.772;436.1537;1214.8162;1613.113;517.7159;595.5899;5675.7864
2011;3326.2787;405.3439;462.58;569.8702;9528.5557;809.2169;1780.13;504.762;577.3363;424.2775;1264.8661;1665.2068;497.659;624.5503;5540.1735
2012;3252.4899;402.6658;498.309;569.2627;9775.6218;813.9847;1963.586;521.5279;602.7383;403.4472;1306.0098;1680.1044;563.1795;628.9359;5338.6983
2013;3171.5537;393.1706;532.418;573.6987;9952.7438;831.4538;2036.9371;496.0744;610.21;369.8343;1315.3427;1619.4197;540.8052;635.7915;5474.2568
2014;3035.9483;399.2537;557.901;570.5634;9985.5834;792.5878;2185.8559;498.9732;641.8421;349.5818;1263.7288;1622.5886;609.2056;630.5946;5522.8072
2015;3088.8823;403.2794;529.353;573.0614;9848.4197;795.6102;2268.5675;551.4753;628.6262;361.3025;1223.3964;1623.0998;674.8782;635.2136;5371.7706
2016;3095.7043;415.9452;492.748;559.567;9720.4441;800.6866;2382.2232;560.846;637.3615;358.0607;1203.7179;1618.5989;639.0565;639.2586;5248.0239
2017;3120.0285;414.7512;500.7577;569.3604;9920.4592;785.8829;2433.8558;575.1758;712.2561;352.8499;1188.1228;1646.457;639.378;655.7471;5207.7513
2018;3046.0886;416.0012;483.6853;579.4704;10289.9895;754.1116;2599.8057;614.8843;707.1574;349.0204;1143.4579;1691.6467;621.9527;671.6307;5375.4906
2019;2909.7107;414.5168;485.7931;582.3896;10489.9886;711.4278;2625.9681;660.594;733.3658;339.7722;1105.9293;1679.4493;622.4127;648.0246;5255.8162
2020;2598.5753;391.8919;467.3835;535.823;10667.8875;644.3104;2441.7923;589.5004;745.0351;303.8153;1030.7754;1577.136;625.5079;597.6051;4712.7706

Sources
Territorial;"Cite as: Friedlingstein et al. (2021), Andrew and Peters (2021).

Friedlingstein et al., 2021 : The Global Carbon Budget 2021, Earth System Science Data. Available at: <a href=""https://doi.org/10.5194/essd-2021-386"" target=""_blank"">https://doi.org/10.5194/essd-2021-386</a>

Andrew and Peters, 2021 : The Global Carbon Project's fossil CO<sub>2</sub> emissions dataset. Available at: <a href="" https://doi.org/10.6084/m9.figshare.16729084.v1"" target=""_blank""> Andrew and Peters, 2021.</a>

The use of data is conditional on citing the original data sources. 

Data for years 2019 and 2020 are preliminary."
